# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu-clock'
# Event count (approx.): 5971971966
#
# Overhead  Shared Object     Symbol                                        IPC   [IPC Coverage]
# ........  ................  ............................................  ....................
#
     0.03%  python3.10d       [.] subtract_refs                             -      -            
     0.03%  python3.10d       [.] tupletraverse.lto_priv.0                  -      -            
     0.03%  [unknown]         [k] 0xffffffffbdaaa232                        -      -            
     0.03%  [unknown]         [k] 0xffffffffbdd85599                        -      -            
     0.03%  [unknown]         [k] 0xffffffffbe14c0bd                        -      -            
     0.02%  libc.so.6         [.] __munmap                                  -      -            
     0.02%  libc.so.6         [.] pthread_mutex_lock                        -      -            
     0.02%  libc.so.6         [.] pthread_rwlock_unlock                     -      -            
     0.02%  libc.so.6         [.] 0x00000000000a16d0                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a16e9                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a1718                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a397b                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a3af6                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a3e0e                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a3ea7                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a3f93                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a4040                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a4410                        -      -            
     0.02%  libc.so.6         [.] 0x00000000000a4b38                        -      -            
     0.02%  libc.so.6         [.] 0x000000000019d8bd                        -      -            
     0.02%  libc.so.6         [.] 0x000000000019d8d0                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a08d9                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a08ec                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0905                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a09cb                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a20                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a24                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a29                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a2e                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a3b                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a40                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a45                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0a5d                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a0b24                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a1048                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a106a                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a1075                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a1092                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a10c9                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a10d3                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a10e4                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a10e9                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a114c                        -      -            
     0.02%  libc.so.6         [.] 0x00000000001a1160                        -      -            
     0.02%  libcrypto.so.3    [.] 0x00000000002e914f                        -      -            
     0.02%  python3.10d       [.] PyArg_UnpackTuple                         -      -            
     0.02%  python3.10d       [.] PyErr_GivenExceptionMatches               -      -            
     0.02%  python3.10d       [.] PyMem_Realloc                             -      -            
     0.02%  python3.10d       [.] PyNumber_Add                              -      -            
     0.02%  python3.10d       [.] PyObject_CallOneArg                       -      -            
     0.02%  python3.10d       [.] PySlice_New                               -      -            
     0.02%  python3.10d       [.] PyTuple_New                               -      -            
     0.02%  python3.10d       [.] PyType_IsSubtype                          -      -            
     0.02%  python3.10d       [.] PyUnicode_Append                          -      -            
     0.02%  python3.10d       [.] PyUnicode_AsUTF8AndSize                   -      -            
     0.02%  python3.10d       [.] PyUnicode_FromFormatV                     -      -            
     0.02%  python3.10d       [.] _PyCode_InitAddressRange                  -      -            
     0.02%  python3.10d       [.] _PyDict_ContainsId                        -      -            
     0.02%  python3.10d       [.] _PyDict_LoadGlobal                        -      -            
     0.02%  python3.10d       [.] _PyEval_BuiltinsFromGlobals               -      -            
     0.02%  python3.10d       [.] _PyFileIO_closed                          -      -            
     0.02%  python3.10d       [.] _PyMem_DebugRawCalloc                     -      -            
     0.02%  python3.10d       [.] _PyMem_DebugRawRealloc                    -      -            
     0.02%  python3.10d       [.] _PyObject_Call                            -      -            
     0.02%  python3.10d       [.] _PyObject_GC_New                          -      -            
     0.02%  python3.10d       [.] _PyObject_HasLen                          -      -            
     0.02%  python3.10d       [.] _PyObject_LookupSpecial                   -      -            
     0.02%  python3.10d       [.] _bufferedreader_read_fast.lto_priv.0      -      -            
     0.02%  python3.10d       [.] all_name_chars                            -      -            
     0.02%  python3.10d       [.] analyze_block                             -      -            
     0.02%  python3.10d       [.] binarysort                                -      -            
     0.02%  python3.10d       [.] build_indices                             -      -            
     0.02%  python3.10d       [.] convertsimple                             -      -            
     0.02%  python3.10d       [.] dict_traverse.lto_priv.0                  -      -            
     0.02%  python3.10d       [.] find_empty_slot                           -      -            
     0.02%  python3.10d       [.] free_keys_object.lto_priv.0               -      -            
     0.02%  python3.10d       [.] func_clear.lto_priv.0                     -      -            
     0.02%  python3.10d       [.] gen_dealloc.lto_priv.0                    -      -            
     0.02%  python3.10d       [.] getset_get.lto_priv.0                     -      -            
     0.02%  python3.10d       [.] inherit_slots                             -      -            
     0.02%  python3.10d       [.] insert_to_freepool                        -      -            
     0.02%  python3.10d       [.] l_divmod.lto_priv.0                       -      -            
     0.02%  python3.10d       [.] list_insert_impl                          -      -            
     0.02%  python3.10d       [.] long_mul.lto_priv.0                       -      -            
     0.02%  python3.10d       [.] module_traverse.lto_priv.0                -      -            
     0.02%  python3.10d       [.] object_isinstance                         -      -            
     0.02%  python3.10d       [.] pymalloc_realloc                          -      -            
     0.02%  python3.10d       [.] r_string                                  -      -            
     0.02%  python3.10d       [.] sequence_repeat                           -      -            
     0.02%  python3.10d       [.] set_dealloc.lto_priv.0                    -      -            
     0.02%  python3.10d       [.] should_audit                              -      -            
     0.02%  python3.10d       [.] tuple_iter.lto_priv.0                     -      -            
     0.02%  python3.10d       [.] type_call.lto_priv.0                      -      -            
     0.02%  python3.10d       [.] type_new_copy_slots                       -      -            
     0.02%  python3.10d       [.] type_vectorcall.lto_priv.0                -      -            
     0.02%  python3.10d       [.] unicode_compare_eq                        -      -            
     0.02%  python3.10d       [.] unicode_eq                                -      -            
     0.02%  python3.10d       [.] unicode_split_impl.lto_priv.0             -      -            
     0.02%  python3.10d       [.] unicodeiter_dealloc.lto_priv.0            -      -            
     0.02%  python3.10d       [.] untrack_dicts                             -      -            
     0.02%  python3.10d       [.] update_one_slot                           -      -            
     0.02%  python3.10d       [.] update_refs                               -      -            
     0.02%  python3.10d       [.] update_slot.lto_priv.0                    -      -            
     0.02%  python3.10d       [.] validate_expr                             -      -            
     0.02%  python3.10d       [.] 0x0000000000021104                        -      -            
     0.02%  python3.10d       [.] 0x0000000000022264                        -      -            
     0.02%  python3.10d       [.] 0x0000000000022b00                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbd8c2e0a                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbd90db26                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbd959be0                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbda89291                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbda8d5a9                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbda8d691                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbda8d6b5                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbda8dafe                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbda8dcda                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdaa93d7                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdab75a2                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdad5d7c                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdadaba4                        -      -            
     0.02%  [unknown]         [k] 0xffffffffbdadbbd6                        -      -            
