# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock'
# Event count (approx.): 16095095079
#
# Overhead  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ....................  ..........................................  ....................
#
     0.04%  python3.10d           [.] PyObject_GenericSetAttr                 -      -            
     0.04%  python3.10d           [.] PyThreadState_Get                       -      -            
     0.04%  python3.10d           [.] _Py_convert_optional_to_ssize_t         -      -            
     0.04%  python3.10d           [.] get_type_cache.lto_priv.0               -      -            
     0.04%  python3.10d           [.] method_vectorcall_FASTCALL              -      -            
     0.03%  libc.so.6             [.] 0x00000000000a16d4                      -      -            
     0.03%  libc.so.6             [.] 0x00000000000a26c9                      -      -            
     0.03%  libc.so.6             [.] 0x00000000001a1146                      -      -            
     0.03%  python3.10d           [.] PyMem_Malloc                            -      -            
     0.03%  python3.10d           [.] PyNumber_Invert                         -      -            
     0.03%  python3.10d           [.] PyNumber_Lshift                         -      -            
     0.03%  python3.10d           [.] gallop_right                            -      -            
     0.03%  python3.10d           [.] get_list_state                          -      -            
     0.03%  python3.10d           [.] insert_to_usedpool                      -      -            
     0.03%  python3.10d           [.] r_object                                -      -            
     0.03%  python3.10d           [.] v_complement                            -      -            
     0.02%  libc.so.6             [.] 0x00000000000a3e6e                      -      -            
     0.02%  libc.so.6             [.] 0x00000000000a3ed6                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a1092                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a114c                      -      -            
     0.02%  python3.10d           [.] PyObject_GC_UnTrack                     -      -            
     0.02%  python3.10d           [.] _PyObject_GenericGetAttrWithDict        -      -            
     0.02%  python3.10d           [.] _PyTrash_end                            -      -            
     0.02%  python3.10d           [.] allocate_from_new_pool                  -      -            
     0.02%  python3.10d           [.] binary_iop                              -      -            
     0.02%  python3.10d           [.] bytes_repeat                            -      -            
     0.02%  python3.10d           [.] find_name_in_mro.lto_priv.0             -      -            
     0.02%  python3.10d           [.] list_append.lto_priv.0                  -      -            
