# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu-clock'
# Event count (approx.): 3494494491
#
# Overhead  Shared Object         Symbol                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................  ....................
#
     0.09%  python3.10d           [.] tupleiter_dealloc.lto_priv.0                       -      -            
     0.09%  python3.10d           [.] 0x0000000000021100                                 -      -            
     0.06%  libc.so.6             [.] __errno_location                                   -      -            
     0.06%  libc.so.6             [.] 0x00000000001a1040                                 -      -            
     0.06%  libc.so.6             [.] 0x00000000001a1050                                 -      -            
     0.06%  libc.so.6             [.] 0x00000000001a107a                                 -      -            
     0.06%  libc.so.6             [.] 0x00000000001a10c4                                 -      -            
     0.06%  libc.so.6             [.] 0x00000000001a114f                                 -      -            
     0.06%  python3.10d           [.] PyFloat_AsDouble                                   -      -            
     0.06%  python3.10d           [.] PyIter_Next                                        -      -            
     0.06%  python3.10d           [.] PyLong_AsLongAndOverflow                           -      -            
     0.06%  python3.10d           [.] PyNumber_Long                                      -      -            
     0.06%  python3.10d           [.] PyNumber_Negative                                  -      -            
     0.06%  python3.10d           [.] PyObject_ClearWeakRefs                             -      -            
     0.06%  python3.10d           [.] PyObject_GC_Del                                    -      -            
     0.06%  python3.10d           [.] PyObject_GenericSetAttr                            -      -            
     0.06%  python3.10d           [.] PyObject_IS_GC                                     -      -            
     0.06%  python3.10d           [.] PyObject_SetItem                                   -      -            
     0.06%  python3.10d           [.] PyUnicode_FromFormatV                              -      -            
     0.06%  python3.10d           [.] PyUnicode_New                                      -      -            
     0.06%  python3.10d           [.] _PyDict_ContainsId                                 -      -            
     0.06%  python3.10d           [.] _PyErr_GetTopmostException                         -      -            
     0.06%  python3.10d           [.] _PyMem_DebugRawRealloc                             -      -            
     0.06%  python3.10d           [.] _PyNumber_Index                                    -      -            
     0.06%  python3.10d           [.] _PyObject_GC_Malloc                                -      -            
     0.06%  python3.10d           [.] builtin_min                                        -      -            
     0.06%  python3.10d           [.] descr_setcheck                                     -      -            
     0.06%  python3.10d           [.] get_gc_state                                       -      -            
     0.06%  python3.10d           [.] list_iter.lto_priv.0                               -      -            
     0.06%  python3.10d           [.] lookup_method.lto_priv.0                           -      -            
     0.06%  python3.10d           [.] method_vectorcall_O                                -      -            
     0.06%  python3.10d           [.] object_init.lto_priv.0                             -      -            
     0.06%  python3.10d           [.] object_new.lto_priv.0                              -      -            
     0.06%  python3.10d           [.] siphash24                                          -      -            
     0.06%  python3.10d           [.] subtype_traverse.lto_priv.0                        -      -            
     0.06%  python3.10d           [.] tupleitem.lto_priv.0                               -      -            
     0.06%  python3.10d           [.] tupleiter_next.lto_priv.0                          -      -            
     0.06%  python3.10d           [.] tuplesubscript.lto_priv.0                          -      -            
     0.06%  python3.10d           [.] tupletraverse.lto_priv.0                           -      -            
     0.06%  python3.10d           [.] unicode_eq                                         -      -            
     0.06%  python3.10d           [.] update_refs                                        -      -            
     0.06%  [unknown]             [k] 0xffffffff8aadeecd                                 -      -            
     0.03%  ld-linux-x86-64.so.2  [.] 0x0000000000005d7d                                 -      -            
     0.03%  ld-linux-x86-64.so.2  [.] 0x000000000000b791                                 -      -            
     0.03%  ld-linux-x86-64.so.2  [.] 0x0000000000027242                                 -      -            
     0.03%  libc.so.6             [.] _IO_file_doallocate                                -      -            
     0.03%  libc.so.6             [.] sem_post                                           -      -            
     0.03%  libc.so.6             [.] 0x00000000000a24ab                                 -      -            
     0.03%  libc.so.6             [.] 0x000000000019d292                                 -      -            
     0.03%  libc.so.6             [.] 0x000000000019d8c1                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a0880                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a08b0                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a08f6                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a0900                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a0910                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a1060                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a112f                                 -      -            
     0.03%  libc.so.6             [.] 0x00000000001a1153                                 -      -            
     0.03%  python3.10d           [.] PyArg_ParseTupleAndKeywords                        -      -            
     0.03%  python3.10d           [.] PyCMethod_New                                      -      -            
     0.03%  python3.10d           [.] PyIter_Check                                       -      -            
     0.03%  python3.10d           [.] PyLong_AsLong                                      -      -            
     0.03%  python3.10d           [.] PyLong_AsSsize_t                                   -      -            
     0.03%  python3.10d           [.] PyObject_GetAttr                                   -      -            
     0.03%  python3.10d           [.] PyObject_IsTrue                                    -      -            
     0.03%  python3.10d           [.] PyObject_RichCompareBool                           -      -            
     0.03%  python3.10d           [.] PyType_Ready                                       -      -            
     0.03%  python3.10d           [.] PyUnicode_AsUTF8AndSize                            -      -            
     0.03%  python3.10d           [.] PyUnicode_Substring                                -      -            
     0.03%  python3.10d           [.] _PyArg_Parse_SizeT                                 -      -            
     0.03%  python3.10d           [.] _PyBytes_FromSize.lto_priv.0                       -      -            
     0.03%  python3.10d           [.] _PyDict_GetItem_KnownHash                          -      -            
     0.03%  python3.10d           [.] _PyEval_SliceIndex                                 -      -            
     0.03%  python3.10d           [.] _PyMem_DebugCalloc                                 -      -            
     0.03%  python3.10d           [.] _PyObject_GC_New                                   -      -            
     0.03%  python3.10d           [.] _PyObject_GC_NewVar                                -      -            
     0.03%  python3.10d           [.] _PyObject_LookupAttr                               -      -            
     0.03%  python3.10d           [.] _PyTrash_end                                       -      -            
     0.03%  python3.10d           [.] _PyUnicode_FromUCS1.lto_priv.0                     -      -            
     0.03%  python3.10d           [.] _PyUnicode_IsLowercase                             -      -            
     0.03%  python3.10d           [.] _io__Buffered_read.lto_priv.0                      -      -            
     0.03%  python3.10d           [.] all_name_chars                                     -      -            
     0.03%  python3.10d           [.] array_ass_subscr                                   -      -            
     0.03%  python3.10d           [.] ascii_decode.lto_priv.0                            -      -            
     0.03%  python3.10d           [.] builtin_abs                                        -      -            
     0.03%  python3.10d           [.] cfunction_call.lto_priv.0                          -      -            
     0.03%  python3.10d           [.] cfunction_vectorcall_FASTCALL_KEYWORDS.lto_priv.0  -      -            
     0.03%  python3.10d           [.] cfunction_vectorcall_O.lto_priv.0                  -      -            
     0.03%  python3.10d           [.] clone_combined_dict_keys                           -      -            
     0.03%  python3.10d           [.] consts_dict_keys_inorder                           -      -            
     0.03%  python3.10d           [.] convertitem                                        -      -            
     0.03%  python3.10d           [.] delete_garbage                                     -      -            
     0.03%  python3.10d           [.] dict_traverse.lto_priv.0                           -      -            
     0.03%  python3.10d           [.] excess_args                                        -      -            
     0.03%  python3.10d           [.] fill_time                                          -      -            
     0.03%  python3.10d           [.] finalize_modules_clear_weaklist                    -      -            
     0.03%  python3.10d           [.] find_empty_slot                                    -      -            
     0.03%  python3.10d           [.] float_bool.lto_priv.0                              -      -            
     0.03%  python3.10d           [.] func_clear.lto_priv.0                              -      -            
     0.03%  python3.10d           [.] func_traverse.lto_priv.0                           -      -            
     0.03%  python3.10d           [.] get_dict_state                                     -      -            
     0.03%  python3.10d           [.] handle_weakrefs                                    -      -            
     0.03%  python3.10d           [.] list_item.lto_priv.0                               -      -            
     0.03%  python3.10d           [.] list_repeat.lto_priv.0                             -      -            
     0.03%  python3.10d           [.] long_add.lto_priv.0                                -      -            
     0.03%  python3.10d           [.] long_hash.lto_priv.0                               -      -            
     0.03%  python3.10d           [.] long_new.lto_priv.0                                -      -            
