# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cpu-clock'
# Event count (approx.): 11075075064
#
# Overhead  Shared Object         Symbol                                        IPC   [IPC Coverage]
# ........  ....................  ............................................  ....................
#
     0.05%  python3.10d           [.] long_add.lto_priv.0                       -      -            
     0.05%  python3.10d           [.] tuple_get_empty                           -      -            
     0.04%  python3.10d           [.] _PyNumber_Index                           -      -            
     0.04%  python3.10d           [.] cfunction_call.lto_priv.0                 -      -            
     0.04%  python3.10d           [.] dict_traverse.lto_priv.0                  -      -            
     0.04%  python3.10d           [.] do_richcompare                            -      -            
     0.04%  python3.10d           [.] list_iter.lto_priv.0                      -      -            
     0.04%  python3.10d           [.] slot_nb_add                               -      -            
     0.04%  python3.10d           [.] tuple_iter.lto_priv.0                     -      -            
     0.04%  python3.10d           [.] visit_reachable                           -      -            
     0.03%  libc.so.6             [.] 0x00000000001a1089                        -      -            
     0.03%  python3.10d           [.] PyArg_ParseTupleAndKeywords               -      -            
     0.03%  python3.10d           [.] PyBool_FromLong                           -      -            
     0.03%  python3.10d           [.] PyFloat_AsDouble                          -      -            
     0.03%  python3.10d           [.] PyLong_AsLongAndOverflow                  -      -            
     0.03%  python3.10d           [.] PyNumber_Negative                         -      -            
     0.03%  python3.10d           [.] PyNumber_TrueDivide                       -      -            
     0.03%  python3.10d           [.] PyObject_Malloc                           -      -            
     0.03%  python3.10d           [.] _PyLong_New                               -      -            
     0.03%  python3.10d           [.] _PyMem_DebugRawRealloc                    -      -            
     0.03%  python3.10d           [.] _PyType_GetModuleByDef                    -      -            
     0.03%  python3.10d           [.] convertitem                               -      -            
     0.03%  python3.10d           [.] excess_args                               -      -            
     0.03%  python3.10d           [.] get_gc_state                              -      -            
     0.03%  python3.10d           [.] method_vectorcall                         -      -            
     0.03%  python3.10d           [.] siphash24                                 -      -            
     0.03%  python3.10d           [.] tupleitem.lto_priv.0                      -      -            
     0.02%  libc.so.6             [.] 0x00000000001a0880                        -      -            
     0.02%  libc.so.6             [.] 0x00000000001a1048                        -      -            
     0.02%  libc.so.6             [.] 0x00000000001a1070                        -      -            
     0.02%  libc.so.6             [.] 0x00000000001a107d                        -      -            
     0.02%  libc.so.6             [.] 0x00000000001a108d                        -      -            
     0.02%  libc.so.6             [.] 0x00000000001a110a                        -      -            
     0.02%  python3.10d           [.] BB_setitem                                -      -            
     0.02%  python3.10d           [.] PyDict_SetDefault                         -      -            
     0.02%  python3.10d           [.] PyIter_Check                              -      -            
     0.02%  python3.10d           [.] PyLong_AsSsize_t                          -      -            
     0.02%  python3.10d           [.] PyMem_Realloc                             -      -            
     0.02%  python3.10d           [.] PyObject_Call                             -      -            
     0.02%  python3.10d           [.] PyObject_GenericGetAttr                   -      -            
